Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","399","Eggplants (aubergines)","2018","2018","ha","1168","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","569","Figs","2018","2018","ha","1482","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","512","Fruit, citrus nes","2018","2018","ha","1","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","619","Fruit, fresh nes","2018","2018","ha","105","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","541","Fruit, stone nes","2018","2018","ha","","M","Data not available"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","406","Garlic","2018","2018","ha","905","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","560","Grapes","2018","2018","ha","10179","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","677","Hops","2018","2018","ha","2329","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","407","Leeks, other alliaceous vegetables","2018","2018","ha","1519","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","497","Lemons and limes","2018","2018","ha","580","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","372","Lettuce and chicory","2018","2018","ha","1345","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","56","Maize","2018","2018","ha","54115","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2018","2018","ha","1560","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","449","Mushrooms and truffles","2018","2018","ha","","M","Data not available"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","234","Nuts nes","2018","2018","ha","780","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","75","Oats","2018","2018","ha","16550","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","430","Okra","2018","2018","ha","709","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","260","Olives","2018","2018","ha","46378","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","403","Onions, dry","2018","2018","ha","5149","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","402","Onions, shallots, green","2018","2018","ha","1820","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","490","Oranges","2018","2018","ha","227","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","534","Peaches and nectarines","2018","2018","ha","1229","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","521","Pears","2018","2018","ha","733","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","417","Peas, green","2018","2018","ha","445","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","536","Plums and sloes","2018","2018","ha","2537","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","116","Potatoes","2018","2018","ha","9726","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","211","Pulses nes","2018","2018","ha","1133","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","394","Pumpkins, squash and gourds","2018","2018","ha","642","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","523","Quinces","2018","2018","ha","860","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","27","Rice, paddy","2018","2018","ha","","M","Data not available"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","71","Rye","2018","2018","ha","976","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","328","Seed cotton","2018","2018","ha","740","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","83","Sorghum","2018","2018","ha","","M","Data not available"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","236","Soybeans","2018","2018","ha","253","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","723","Spices nes","2018","2018","ha","397","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","373","Spinach","2018","2018","ha","1410","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","544","Strawberries","2018","2018","ha","111","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","157","Sugar beet","2018","2018","ha","702","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","267","Sunflower seed","2018","2018","ha","371","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","495","Tangerines, mandarins, clementines, satsumas","2018","2018","ha","811","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","826","Tobacco, unmanufactured","2018","2018","ha","1004","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","388","Tomatoes","2018","2018","ha","6587","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","463","Vegetables, fresh nes","2018","2018","ha","1315","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","420","Vegetables, leguminous nes","2018","2018","ha","24","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","205","Vetches","2018","2018","ha","6453","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","567","Watermelons","2018","2018","ha","5681","","Official data"
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","15","Wheat","2018","2018","ha","65072","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","221","Almonds, with shell","2018","2018","ha","35626","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","515","Apples","2018","2018","ha","33653","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","526","Apricots","2018","2018","ha","32578","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","366","Artichokes","2018","2018","ha","5784","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","486","Bananas","2018","2018","ha","9","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","44","Barley","2018","2018","ha","1080250","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","176","Beans, dry","2018","2018","ha","2843","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","414","Beans, green","2018","2018","ha","11610","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","181","Broad beans, horse beans, dry","2018","2018","ha","40222","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","358","Cabbages and other brassicas","2018","2018","ha","4069","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","461","Carobs","2018","2018","ha","789","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","426","Carrots and turnips","2018","2018","ha","17941","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","393","Cauliflowers and broccoli","2018","2018","ha","8090","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","531","Cherries","2018","2018","ha","2824","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","191","Chick peas","2018","2018","ha","32065","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","689","Chillies and peppers, dry","2018","2018","ha","4150","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","401","Chillies and peppers, green","2018","2018","ha","22108","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","397","Cucumbers and gherkins","2018","2018","ha","4359","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","577","Dates","2018","2018","ha","168855","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","399","Eggplants (aubergines)","2018","2018","ha","5978","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","569","Figs","2018","2018","ha","39356","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","512","Fruit, citrus nes","2018","2018","ha","469","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","619","Fruit, fresh nes","2018","2018","ha","6178","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","541","Fruit, stone nes","2018","2018","ha","2187","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","603","Fruit, tropical fresh nes","2018","2018","ha","","M","Data not available"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","406","Garlic","2018","2018","ha","12945","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","507","Grapefruit (inc. pomelos)","2018","2018","ha","73","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","560","Grapes","2018","2018","ha","69376","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","242","Groundnuts, with shell","2018","2018","ha","4753","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","497","Lemons and limes","2018","2018","ha","3978","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","201","Lentils","2018","2018","ha","25956","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","56","Maize","2018","2018","ha","1241","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","75","Oats","2018","2018","ha","77375","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","260","Olives","2018","2018","ha","431009","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","403","Onions, dry","2018","2018","ha","47282","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","402","Onions, shallots, green","2018","2018","ha","31","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","490","Oranges","2018","2018","ha","45514","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","534","Peaches and nectarines","2018","2018","ha","16768","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","521","Pears","2018","2018","ha","20667","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","187","Peas, dry","2018","2018","ha","10383","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","417","Peas, green","2018","2018","ha","35897","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","536","Plums and sloes","2018","2018","ha","13488","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","116","Potatoes","2018","2018","ha","149665","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","211","Pulses nes","2018","2018","ha","355","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","394","Pumpkins, squash and gourds","2018","2018","ha","13528","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","523","Quinces","2018","2018","ha","1697","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","270","Rapeseed","2018","2018","ha","11893","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","27","Rice, paddy","2018","2018","ha","166","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","328","Seed cotton","2018","2018","ha","260","F","FAO estimate"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","83","Sorghum","2018","2018","ha","265","","Official data"
